State,Dem,Rep,Oth
AL,678687,975737,5471
AK,131199,149779,1188
AS,637,7194,807
AZ,2370293,2274451,80834
AR,312978,556339,19981
CA,19123809,3973396,200681
CO,1343211,1079772,90923
CT,1596337,1058212,112099
DE,444738,262511,9171
DC,199124,9700,19945
FL,7396700,7774922,39859
GA,1814469,1987191,683
GU,19193,15398,399
HI,564237,199383,7063
ID,207303,367993,20428
IL,2757540,1754449,27715
IN,2023657,2405978,109079
IA,664676,612338,39634
KS,464380,563190,22752
KY,612977,935304,21517
LA,553184,835715,71694
ME,399476,468874,397736
MD,2984661,1434923,166589
MA,3576968,1477163,138040
MI,4558811,3792277,235879
MN,4357483,3161747,242001
MS,768337,1018781,1941055
MO,2140904,2585902,133896
MT,487160,492624,29021
NE,534410,835228,25815
NV,981343,880929,70634
NH,311242,248986,10516
NJ,3568473,2556019,143561
NM,781024,477514,131785
NY,7655052,3456757,1151597
NC,1771061,1846041,46224
ND,258753,373288,15629
MP,,5199,9150
OH,4443362,4352932,33358
OK,428452,730531,19853
OR,1061412,702531,83703
PA,5808723,4623205,121407
RI,474052,274259,1707
SC,758340,927494,23458
SD,121033,202695,12237
TN,1831900,2507138,64527
TX,7898384,8395912,280067
UT,702550,1282522,130331
VT,188547,145520,211008
VI,16341,,264
VA,3777431,2783014,104523
WA,3691957,2182548,233614
WV,525078,608259,30688
WI,2840406,2305928,86084
WY,121130,264173,19362
